contrast-0,energy-0,homogenity-0,correlation-0,dissimilarity-0,ASM-0,target
"848,710,145",0.06087134,0.39425644,0.95011196,"209,392,419",0.00370532,1
"740,667,781",0.07038353,0.41426623,0.93986457,"195,053,512",0.00495384,1
"648,604,236",0.07123551,0.43302493,0.94860351,"181,975,474",0.0050745,1
"831,360,089",0.06095722,0.39595519,0.95084605,"208,316,611",0.00371578,1
"882,443,701",0.05966193,0.39158708,0.95067283,"21,374,359",0.00355955,1
"737,853,958",0.06746861,0.41123743,0.94601032,"19,661,427",0.00455201,1
"693,433,668",0.0681328,0.42108774,0.95072283,"189,154,961",0.00464208,1
"763,683,389",0.05925478,0.40444537,0.9588083,"201,117,057",0.00351113,2
"748,656,633",0.06356336,0.4036507,0.9513716,"199,555,184",0.0040403,2
"796,003,344",0.06004386,0.3988354,0.95337487,"205,075,808",0.00360527,2
"828,993,311",0.05722679,0.39384806,0.95850163,"209,176,143",0.00327491,2
"687,430,323",0.06410449,0.4204844,0.96002583,"189,570,792",0.00410939,2
"762,620,959",0.06355094,0.40015975,0.94692967,"201,849,498",0.00403872,2
"792,157,191",0.06257889,0.40526273,0.94980823,"202,362,319",0.00391612,2
"586,091,416",0.0668833,0.45086673,0.96311105,"172,733,556",0.00447338,3
"553,590,858",0.06725974,0.45718758,0.96668892,"168,369,008",0.00452387,3
"568,830,546",0.06688525,0.45580701,0.96595108,"170,128,205",0.00447364,3
"405,995,541",0.07792213,0.50627049,0.97394237,"14,154,961",0.00607186,3
"954,195,095",0.05902701,0.4043442,0.95852679,"211,956,522",0.00348419,3
"521,318,841",0.07073261,0.45296084,0.96102548,"166,123,746",0.0050031,3
"524,790,412",0.06853675,0.46253813,0.96689039,"164,023,411",0.00469729,3
